CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
24267,MED,04307,  1,"CMSRU Spring M3 ... 
30-DEC to 27-JUN",Day,SCHOLARS WORKSHOP PC3 M3-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,5,0,0,0,5,0,0,0,
24277,MED,04309,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,SCHOLARS WORKSHOP M4-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,115,0,0,0,115,0,0,0,
24180,MED,04311,  1,"CMSRU Spring M1 ... 
02-JAN to 27-JUN",Day,AMBULATORY CLERK M1-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,114,0,0,0,114,0,0,0,
24192,MED,04313,  1,"CMSRU Spring M2 ... 
02-JAN to 27-JUN",Day,AMBULATORY CLERKSHIP M2-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,114,0,0,0,114,0,0,0,
24268,MED,04315,  1,"CMSRU Spring M3 ... 
30-DEC to 27-JUN",Day,AMBULATORY CLERK M3-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,118,0,0,0,118,0,0,0,
24269,MED,04317,  1,"CMSRU Spring M3 ... 
30-DEC to 27-JUN",Day,AMBULATORY CLERK PC3 M3-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,5,0,0,0,5,0,0,0,
24181,MED,04321,  1,"CMSRU Spring M1 ... 
02-JAN to 27-JUN",Day,FOUNDATIONS MED PRACTICE M1-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,114,0,0,0,114,0,0,0,
24193,MED,04323,  1,"CMSRU Spring M2 ... 
02-JAN to 27-JUN",Day,FOUNDATIONS MED PRACTICE M2-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,114,0,0,0,114,0,0,0,
24182,MED,04331,  1,"CMSRU Spring M1 ... 
02-JAN to 27-JUN",Day,PATIENT CTRD MD HM IM PC3 M1-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,5,0,0,0,5,0,0,0,
24183,MED,04333,  1,"CMSRU Spring M1 ... 
02-JAN to 27-JUN",Day,PATIENT CTRD MD PED PC3 M1-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,5,0,0,0,5,0,0,0,
